x1,x2,x3,x4,x5,x6,x7,x8,x9,x10
0.43,0.52,0.6,0.76,0.08,0.25,0.79,0.67,0.09,0.12
0.87,0.16,0.8,0.51,0.28,0.01,0.19,0.07,0.1,0.69
0.74,0.29,0.77,0.21,0.69,0.77,0.86,0.66,0.55,0.02
0.93,0.08,0.01,0.48,0.0,0.2,0.25,0.69,0.7,0.2
0.66,0.01,0.85,0.84,0.84,0.82,0.37,0.23,0.72,0.49
0.63,0.87,0.83,0.63,0.84,0.89,0.17,0.82,0.15,0.9
0.68,0.48,0.71,0.61,0.61,0.37,0.28,0.02,0.03,0.02
0.68,0.73,0.48,0.72,0.77,0.08,0.61,0.12,0.55,0.77
0.72,0.05,0.85,0.18,0.51,0.58,0.3,0.5,0.24,0.76
0.57,0.21,0.32,1.0,0.86,0.37,0.5,0.97,0.38,0.12
0.03,0.54,0.6,0.66,0.29,0.84,0.87,0.07,0.52,0.06
0.11,0.8,0.82,0.42,0.34,0.28,0.33,0.71,0.45,0.43
0.61,0.22,0.76,0.32,0.81,0.81,0.6,0.14,0.23,0.48
0.48,0.29,0.87,0.89,0.77,0.45,0.58,0.91,0.31,0.67
0.85,0.38,0.42,0.17,0.8,0.3,0.03,0.46,0.35,0.8
0.71,0.42,0.01,0.61,0.42,0.55,0.56,0.35,0.99,0.52
0.85,0.96,0.91,0.99,0.13,0.62,0.2,0.51,0.66,0.02
0.17,0.4,0.47,0.59,0.78,0.2,0.29,1.0,0.37,0.31
0.44,0.96,0.51,0.95,0.7,0.07,0.95,1.0,0.36,0.59
0.36,0.38,0.48,0.88,0.05,0.32,0.29,0.43,0.53,0.43